Project_Id,Country,StateName,CityName,ProjectTypes,CertLevel,PointsAchieved,FloorArea,EnergySaving,CO2Avoided,CertDate
1000188387,KR,SOU,SEO,"Office: Mixed-Use",Gold,65,29474,1105275,453163,"2024-11-18 00:00:00"
1000188406,US,NC,RAL,"Office: Administrative/Professional",Silver,53,9374.56,210928,92808,"2024-07-19 00:00:00"
1000188408,US,NC,RAL,"Office: Administrative/Professional",Certified,44,10734.76,161021,70849,"2024-09-16 00:00:00"
1000188424,IN,MAH,CHA,"Office: Administrative/Professional",Platinum,81,2101,110302,78315,"2024-03-13 00:00:00"
1000188592,IN,RAJ,JAI,"Industrial Manufacturing",Gold,74,2272.87,397752,282404,"2024-03-05 00:00:00"
1000188614,IN,KAR,BEN,"Office: Mixed-Use",Platinum,89,19645.27,1031377,732277,"2024-05-06 00:00:00"
1000188623,IN,KAR,BEN,"Office: Mixed-Use",Platinum,89,19366.65,1016749,721892,"2024-05-06 00:00:00"
1000188759,US,FL,MIA,"Office: Administrative/Professional",Gold,65,24125.05,904689,398063,"2024-07-17 00:00:00"
1000188761,US,FL,MIA,"Office: Administrative/Professional",Gold,60,20428.91,766084,337077,"2024-07-17 00:00:00"
1000188763,US,FL,MIA,"Office: Administrative/Professional",Gold,61,20278.22,760433,334591,"2024-07-25 00:00:00"
1000188860,CN,SHA,SHA,Other,Gold,62,50970,3185625,1783950,"2024-04-11 00:00:00"
1000188873,IT,PR,PAR,"Industrial Manufacturing",Certified,49,39984,2798880,699720,"2024-12-16 00:00:00"
1000188874,IT,TO,TUR,"Lodging: Dormitory",Gold,73,9095,738969,184742,"2024-12-12 00:00:00"
1000188878,IT,TO,TUR,"Lodging: Dormitory",Gold,66,4660,378625,94656,"2024-12-12 00:00:00"
1000189060,TR,IST,IST,"Lodging: Hotel/Motel/Resort, Full Service",Platinum,81,13870,1577712,678416,"2024-07-08 00:00:00"
1000189158,IT,MI,VIM,"Office: Mixed-Use",Gold,61,10996,412350,103088,"2024-02-22 00:00:00"
1000189160,IT,MI,VIM,"Office: Mixed-Use",Gold,70,1580,59250,14812,"2024-02-22 00:00:00"
1000189302,US,DC,WAS,"Office: Administrative/Professional",Gold,71,20242.63,759099,334003,"2024-07-31 00:00:00"
1000189329,CN,BEI,BEI,"Office: Mixed-Use",Platinum,84,107627,5650418,3164234,"2024-03-28 00:00:00"
1000189336,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,67,3943.15,690051,386429,"2024-06-24 00:00:00"
1000189338,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,716.74,125430,70241,"2024-06-24 00:00:00"
1000189340,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,3943.15,690051,386429,"2024-06-24 00:00:00"
1000189342,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,63,3943.15,690051,386429,"2024-07-12 00:00:00"
1000189344,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,33508.22,5863938,3283806,"2024-06-24 00:00:00"
1000189346,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,65,5854.6,1024555,573751,"2024-07-02 00:00:00"
1000189354,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,19766,3459050,1937068,"2024-06-24 00:00:00"
1000189356,CN,BEI,BEI,"Multi-Family Residential: Apartment",Gold,64,9243,346612,194103,"2024-06-24 00:00:00"
1000189358,CN,BEI,BEI,"Multi-Family Residential: Apartment",Gold,65,4115,154312,86415,"2024-06-24 00:00:00"
1000189361,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,68,3523.59,616628,345312,"2024-06-24 00:00:00"
1000189363,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,3945.38,690442,386647,"2024-07-02 00:00:00"
1000189365,CN,BEI,BEI,"Lodging: Hotel/Motel/Resort, Full Service",Gold,65,2747,223194,124989,"2024-06-24 00:00:00"
1000189367,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,3945.38,690442,386647,"2024-07-02 00:00:00"
1000189369,CN,BEI,BEI,"Multi-Family Residential: Apartment",Gold,66,2513.34,94250,52780,"2024-06-24 00:00:00"
1000189371,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,5855.32,1024681,573821,"2024-07-02 00:00:00"
1000189373,CN,BEI,BEI,"Multi-Family Residential: Apartment",Gold,65,6897.66,258662,144851,"2024-06-24 00:00:00"
1000189375,CN,BEI,BEI,"Office: Medical (Non-Diagnostic)",Gold,66,13155.61,2302232,1289250,"2024-07-02 00:00:00"
1000189430,KR,SOU,SEO,"Office: Mixed-Use",Platinum,83,64494,3385935,1388233,"2024-08-28 00:00:00"
1000189515,ES,VIZ,ETX,"Healthcare: Nursing Home/ Assisted Living",Gold,69,8000,1400000,322000,"2025-02-12 00:00:00"
1000189518,AE,CON,CON,CONF,Gold,64,9321.98,582624,233050,"2024-11-19 00:00:00"
1000189522,HK,HK,HK,"Office: Financial",Platinum,81,13507,709118,411288,"2024-07-31 00:00:00"
1000189669,IN,AP,SC,"Industrial Manufacturing",Platinum,83,11116.68,2723587,1933746,"2024-04-05 00:00:00"
1000189675,IN,HAR,GUR,"Office: Mixed-Use",Platinum,87,18328,962220,683176,"2024-05-06 00:00:00"
1000189828,KR,SOU,SEO,"Office: Mixed-Use",Gold,66,35431,1328662,544752,"2024-03-20 00:00:00"
1000190022,TR,IST,IST,"Office: Mixed-Use",Gold,68,5140,192750,82882,"2024-12-24 00:00:00"
1000190206,IN,ORI,GD,"Industrial Manufacturing",Platinum,83,23946.86,5866981,4165556,"2024-05-28 00:00:00"
1000190328,IN,CON,CON,CONF,Platinum,81,44262.05,3872929,2749780,"2025-06-02 00:00:00"
