Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,water_use_intensity,Water_Saving_%,Water_Baseline_L,Water_Saving_L,Water_Saving_m3
1000119329,AUS IT Building,US,Silver,2024-03-25,3741.85,2800.0,20,10477180.0,2095436.0,2095.436
1000119511,Jane E. Heminger Hall,US,Silver,2024-04-05,3530.31,500.0,20,1765155.0,353031.0,353.031
1000119611,Ereks Blue Matters Resp. Prod. Platform,TR,Certified,2024-10-06,9754.82,2800.0,10,27313496.0,2731350.0,2731.35
1000119612,Emory University HSRB II,US,Gold,2024-08-06,32144.44,2800.0,30,90004432.0,27001330.0,27001.33
1000119708,MTL-Maison Robert-Belanger,CA,Silver,2024-08-23,335.0,580.0,20,194300.0,38860.0,38.86
1000119744,CONF,US,Gold,2024-10-11,7897.41,500.0,30,3948705.0,1184612.0,1184.612
1000119745,Indianapolis-Marion County Sheriff/ADC,US,Certified,2024-10-08,74483.87,2200.0,10,163864514.0,16386451.0,16386.451
1000119759,CONF,US,Certified,2024-11-07,2694.19,500.0,10,1347095.0,134710.0,134.71
1000119770,Rice Sid Richardson Residential College,US,Gold,2024-01-12,11705.78,2200.0,30,25752716.0,7725815.0,7725.815
1000119772,NKU Residence Hall,US,Certified,2024-04-17,6523.65,580.0,10,3783717.0,378372.0,378.372
1000119839,Rutherford GO Station,CA,Gold,2024-06-12,2663.0,2800.0,30,7456400.0,2236920.0,2236.92
1000119861,UMW Virginia Hall Renovation,US,Silver,2024-04-22,4244.46,2200.0,20,9337812.0,1867562.0,1867.562
1000120063,East Columbia 50+ Center,US,Gold,2024-10-28,2879.99,580.0,30,1670394.0,501118.0,501.118
1000120075,Stockyards Event Center at the NWC,US,Gold,2024-08-09,4452.84,2800.0,30,12467952.0,3740386.0,3740.386
1000120085,Maintenance & Storage Facility Main Bldg,CA,Certified,2024-06-20,5052.0,2800.0,10,14145600.0,1414560.0,1414.56
1000120132,CBC Student Recreation Center,US,Silver,2024-06-25,7263.99,580.0,20,4213114.0,842623.0,842.623
