Metric_Id,Project_Id,EnergySaving,CO2Avoided,WaterSaving,WasteAvoided
436,1000138378,2125975.0,935429.0,17269.461,91580475.0
437,1000138407,1477534.0,650115.0,6855.758,118202730.0
438,1000138421,486696.0,214146.0,2258.268,38935650.0
439,1000138455,261290.0,114967.0,696.772,13935440.0
440,1000138714,64130.0,28217.0,146.582,2198730.0
441,1000138941,27871.0,12263.0,107.767,3344508.0
442,1000138955,63211.0,27813.0,325.889,6742536.0
443,1000138985,73207.0,32211.0,292.827,3137430.0
444,1000138995,78832.0,34686.0,315.328,3378510.0
445,1000139011,562375.0,247445.0,2174.516,67484988.0
446,1000139014,222214.0,97774.0,1031.075,17777160.0
447,1000139227,298669.0,131414.0,1539.804,31858008.0
448,1000139250,1485124.0,831669.0,534.645,23761980.0
449,1000139455,661934.0,291251.0,1765.157,35303140.0
450,1000139488,61401.0,27017.0,136.447,1364470.0
451,1000139639,761314.0,334978.0,4060.342,29002440.0
452,1000139692,325161.0,143071.0,780.386,13006425.0
453,1000139734,359548.0,158201.0,719.097,5992475.0
454,1000139763,534770.0,235299.0,2481.33,42781560.0
455,1000139828,198750.0,141112.0,922.2,15900000.0
456,1000139880,618344.0,272071.0,2869.116,49467510.0
457,1000139883,195225.0,60520.0,905.844,15618000.0
458,1000139971,549264.0,241676.0,2831.763,58588200.0
459,1000140123,178250.0,78430.0,950.667,6790480.0
460,1000140452,860303.0,378533.0,6988.304,37059190.0
461,1000140846,173250.0,43312.0,803.88,13860000.0
462,1000140908,3483444.0,1532715.0,6635.132,49763490.0
463,1000140934,388990.0,120587.0,1555.96,16671000.0
464,1000140975,85609.0,37668.0,397.226,6848730.0
465,1000141120,548550.0,126166.0,1097.1,9142500.0
466,1000141174,2601938.0,1457085.0,12072.99,208155000.0
467,1000141220,5719362.0,2516519.0,27452.939,163410350.0
468,1000141516,269084.0,118397.0,1076.334,11532150.0
469,1000141892,211603.0,93105.0,470.229,4702290.0
470,1000141900,3914933.0,1722571.0,17896.838,95875920.0
471,1000141951,402188.0,120656.0,965.25,16087500.0
472,1000141978,452902.0,199277.0,905.805,7548375.0
473,1000142002,259618.0,114232.0,519.236,4326962.5
474,1000142005,21038500.0,11781560.0,100984.8,601100000.0
475,1000142019,606540.0,266878.0,2814.347,48523230.0
476,1000142252,78387.0,34490.0,188.128,3135475.0
477,1000142532,244020.0,61005.0,1078.336,16732800.0
478,1000142605,14413.0,6342.0,74.306,1537368.0
479,1000142644,336774.0,148180.0,673.547,20206410.0
480,1000142702,1172444.0,515876.0,6044.602,125060736.0
481,1000142772,445036.0,195816.0,2064.966,35602860.0
482,1000142917,129530.0,56993.0,345.413,6908260.0
483,1000142962,253359.0,111478.0,563.02,5630200.0
484,1000143027,553784.0,243665.0,2855.063,59070264.0
485,1000143029,633488.0,278734.0,3265.98,67572000.0
486,1000143040,541653.0,238327.0,2599.934,15475800.0
487,1000143110,1965600.0,1100736.0,9434.88,56160000.0
488,1000143114,44724.0,19679.0,230.579,4770600.0
489,1000143188,796132.0,350298.0,3694.053,63690570.0
490,1000143276,95307.0,41935.0,190.614,5718405.0
