Project_Id,ProjectName,Country,CertLevel,CertDate,GrossFloorAreaSqm,Energy_Saving_kWh,CO2_Avoided_kg
1000120828,Penn State Mont Alto Allied Health,US,Certified,2024-01-08,2043.87,61316.0,26979.0
1000120869,Remick Family Hall,US,Silver,2024-02-29,4045.18,182033.0,80095.0
1000120913,Alief Neighborhood Center,US,Silver,2024-12-16,6647.3,149564.0,65808.0
1000120994,Metro Building at Eisenhower,US,Gold,2024-06-11,39501.15,1481293.0,651769.0
1000121357,ASGC Labour Accommodation Building,AE,Gold,2024-11-20,10220.44,830411.0,332164.0
1000121363,Purdue Dudley Hall and Lambertus Hall,US,Silver,2024-10-18,23167.69,1042546.0,458720.0
1000121586,Animal Control Facility,US,Gold,2024-10-16,2035.97,127248.0,55989.0
1000121590,Via Ripamonti 37,IT,Gold,2024-09-26,31746.0,2579362.0,644841.0
1000121687,KP MMC Ambulatory Surgery Center,US,Silver,2024-02-08,8267.62,868100.0,381964.0
1000121700,CONF,US,Silver,2024-02-22,6801.99,255075.0,112233.0
1000121785,Jack Doyle Athletics & Recreation Centre,CA,Silver,2024-05-21,11658.0,524610.0,162629.0
1000121792,VALL HEBRON INSTITUT DE RECERCA - VHIR,ES,Gold,2025-05-15,11402.0,1995350.0,458930.0
1000122321,Forbes & Beeler Residence Hall,US,Gold,2024-03-08,11148.36,905804.0,398554.0
1000122372,Garrett College Performing Arts Center,US,Gold,2024-01-10,2660.83,99781.0,43904.0
1000122888,CSU - Spur - Terra Bldg.,US,Gold,2024-12-09,6317.4,473805.0,208474.0
1000122899,CONF,US,Silver,2024-01-25,2788.0,104550.0,46002.0
1000123012,Houston Zoo Headquarters,US,Gold,2024-04-17,3929.8,147368.0,64842.0
1000123183,Granite Library,US,Gold,2024-10-22,2954.32,221574.0,97493.0
1000123400,VU Owen Graduate School of Management,US,Gold,2024-07-12,11436.36,857727.0,377400.0
1000123721,CSU College of Business,US,Gold,2024-09-17,6038.7,452902.0,199277.0
1000123783,CONF,US,Silver,2024-07-12,8268.37,310064.0,136428.0
1000123812,UW - Health Science Education Building,US,Gold,2024-05-20,9104.49,682837.0,300448.0
1000123851,Family First Community Center,US,Silver,2024-04-12,1960.25,44106.0,19406.0
1000124095,The Hale,US,Silver,2024-04-09,38118.01,857655.0,377368.0
1000124108,ZORDAN ATTILIO,IT,Gold,2024-03-14,5170.0,193875.0,48469.0
1000124249,CCPL Bay Village Branch,US,Certified,2024-01-09,1595.14,47854.0,21056.0
1000124273,2750 19th Street,US,Silver,2024-07-23,7986.41,179694.0,79065.0
1000124286,MA State Police Lower Basin Barracks,US,Gold,2024-02-02,1821.92,68322.0,30062.0
1000124295,CONF,US,Certified,2025-01-27,4168.74,104218.0,45856.0
1000124300,University of Dayton Center for the Arts,US,Gold,2024-05-10,4784.69,358852.0,157895.0
1000124371,Virginia Tech Data and Decision Sciences,US,Silver,2024-09-09,11148.36,501676.0,220738.0
1000124417,Lincoln at Bankside,US,Silver,2024-01-29,84260.42,1895859.0,834178.0
1000124497,CCP Career & Advanced Technology Center,US,Gold,2024-05-17,6967.72,522579.0,229935.0
1000124510,De Anza Morningstar,US,Silver,2024-06-18,7958.35,179063.0,78788.0
1000124547,CoverMyMeds Phase I,US,Platinum,2024-03-22,29058.39,1525565.0,671249.0
1000124589,WMATA - New Carrollton,US,Gold,2024-07-30,29728.96,1114836.0,490528.0
1000124722,Merser Mercedes-Benz Showroom & Service,TR,Gold,2024-12-16,12506.0,781625.0,336099.0
1000124776,1900 Crystal Drive,US,Silver,2024-03-08,44186.25,994191.0,437444.0
1000124804,CONF,US,Platinum,2024-02-27,2042.1,178684.0,78621.0
1000124812,South Endzone,US,Silver,2024-01-23,10516.62,1104245.0,485868.0
1000125031,Mica RiNo,US,Gold,2024-08-08,44019.11,1650717.0,726315.0
1000125072,Missouri Botanical Garden Visitor Center,US,Gold,2024-04-09,8547.08,320516.0,141027.0
1000125146,Ctrls Datacenters Limited,IN,Gold,2025-05-31,5121.0,640125.0,454489.0
1000125291,Project Lannister Offices,CN,Gold,2024-07-31,6455.0,242062.0,135555.0
1000125416,Lake & River Hall,US,Gold,2024-01-25,21561.11,1617083.0,711517.0
1000125563,FIU- Parkview II - Student Housing,US,Certified,2024-04-02,27827.24,904385.0,397930.0
1000125581,Sage at National Landing,US,Silver,2024-05-22,24192.22,544325.0,239503.0
1000125609,The Broadview at Vanderbilt,US,Gold,2024-04-24,35089.46,1315855.0,578976.0
1000125660,UP Shiley-Marcos Center,US,Gold,2025-07-08,3575.0,268125.0,117975.0
1000125676,CCAC CEIT,US,Silver,2024-09-16,4774.29,214843.0,94531.0
1000125733,Waterloo Regional Police Services,CA,Silver,2024-11-19,8816.0,198360.0,61492.0
1000125921,Tampa US Customs & Border Protection,US,Certified,2024-01-30,2604.72,182330.0,80225.0
1000126140,FIS HQ,US,Platinum,2024-06-20,34959.77,1835388.0,807571.0
1000126363,Iowa State Veterinary Diagnostic Lab,US,Silver,2024-07-25,9391.1,422600.0,185944.0
1000126435,"The Virginian  Fairfax, VA",US,Silver,2024-05-17,34113.05,3581870.0,1576023.0
1000126485,Malachowsky Hall Data Sciences & IT,US,Platinum,2024-11-26,24474.37,2569809.0,1130716.0
1000126661,Animal Services Center of Mesilla Valley,US,Certified,2024-09-09,1683.31,42083.0,18516.0
1000126697,Ringling Dining,US,Gold,2024-02-01,2601.28,130064.0,57228.0
1000126743,UCF Roth Athletic Center,US,Certified,2024-03-25,3572.31,89308.0,39295.0
1000126744,Town of Vienna Police Headquarters,US,Silver,2024-05-06,2631.01,59198.0,26047.0
1000126748,281007 Renovate Crosby Hall,US,Gold,2024-06-10,7339.34,550450.0,242198.0
1000126761,CONF,ES,Platinum,2024-07-04,14715.0,1287562.0,296139.0
1000126762,CONF,ES,Platinum,2024-04-12,21054.0,1842225.0,423712.0
1000126780,CONF,ES,Platinum,2024-01-16,19790.0,1731625.0,398274.0
