Certification_Id,Project_Id,RatingSystem,PointsAchieved,CertLevel,CertDate
245,1000121785,LEED v4 BD+C: NC,52,Silver,2024-05-21
246,1000121792,LEED v4 BD+C: NC,61,Gold,2025-05-15
247,1000122321,LEED v4 BD+C: NC,64,Gold,2024-03-08
248,1000122372,LEED v4 BD+C: NC,62,Gold,2024-01-10
249,1000122888,LEED v4 BD+C: NC,60,Gold,2024-12-09
250,1000122899,LEED v4 BD+C: NC,50,Silver,2024-01-25
251,1000123012,LEED v4 BD+C: NC,62,Gold,2024-04-17
252,1000123183,LEED v4 BD+C: NC,66,Gold,2024-10-22
253,1000123400,LEED v4 BD+C: NC,63,Gold,2024-07-12
254,1000123721,LEED v4 BD+C: NC,60,Gold,2024-09-17
255,1000123783,LEED v4 BD+C: NC,52,Silver,2024-07-12
256,1000123812,LEED v4 BD+C: NC,64,Gold,2024-05-20
257,1000123851,LEED v4 BD+C: NC,51,Silver,2024-04-12
258,1000124095,LEED v4 BD+C: NC,52,Silver,2024-04-09
259,1000124108,LEED v4 BD+C: NC,70,Gold,2024-03-14
260,1000124249,LEED v4 BD+C: NC,45,Certified,2024-01-09
261,1000124273,LEED v4 BD+C: NC,52,Silver,2024-07-23
262,1000124286,LEED v4 BD+C: NC,64,Gold,2024-02-02
263,1000124295,LEED v4.1 BD+C: NC,42,Certified,2025-01-27
264,1000124300,LEED v4 BD+C: NC,61,Gold,2024-05-10
265,1000124371,LEED v4 BD+C: NC,53,Silver,2024-09-09
266,1000124417,LEED v4 BD+C: NC,57,Silver,2024-01-29
267,1000124497,LEED v4 BD+C: NC,63,Gold,2024-05-17
268,1000124510,LEED v4 BD+C: NC,50,Silver,2024-06-18
269,1000124547,LEED v4 BD+C: NC,80,Platinum,2024-03-22
270,1000124589,LEED v4 BD+C: NC,61,Gold,2024-07-30
271,1000124722,LEED v4 BD+C: NC,60,Gold,2024-12-16
272,1000124776,LEED v4 BD+C: NC,52,Silver,2024-03-08
273,1000124804,LEED v4 BD+C: NC,85,Platinum,2024-02-27
274,1000124812,LEED v4 BD+C: NC,55,Silver,2024-01-23
275,1000125031,LEED v4 BD+C: NC,61,Gold,2024-08-08
276,1000125072,LEED v4 BD+C: NC,72,Gold,2024-04-09
277,1000125146,LEED v4.1 O+M: EB,77,Gold,2025-05-31
278,1000125291,LEED v4 BD+C: NC,66,Gold,2024-07-31
279,1000125416,LEED v4 BD+C: NC,61,Gold,2024-01-25
280,1000125563,LEED v4 BD+C: NC,41,Certified,2024-04-02
281,1000125581,LEED v4 BD+C: NC,52,Silver,2024-05-22
282,1000125609,LEED v4 BD+C: NC,60,Gold,2024-04-24
283,1000125660,LEED v4.1 BD+C: NC,62,Gold,2025-07-08
284,1000125676,LEED v4.1 BD+C: NC,50,Silver,2024-09-16
285,1000125733,LEED v4 BD+C: NC,54,Silver,2024-11-19
286,1000125921,LEED v4 BD+C: NC,40,Certified,2024-01-30
287,1000126140,LEED v4 BD+C: NC,80,Platinum,2024-06-20
288,1000126363,LEED v4 BD+C: NC,54,Silver,2024-07-25
289,1000126435,LEED v4 BD+C: NC,50,Silver,2024-05-17
290,1000126485,LEED v4 BD+C: NC,81,Platinum,2024-11-26
291,1000126661,LEED v4 BD+C: NC,44,Certified,2024-09-09
292,1000126697,LEED v4 BD+C: NC,60,Gold,2024-02-01
293,1000126743,LEED v4 BD+C: NC,40,Certified,2024-03-25
294,1000126744,LEED v4 BD+C: NC,54,Silver,2024-05-06
295,1000126748,LEED v4 BD+C: NC,63,Gold,2024-06-10
296,1000126761,LEED v4 BD+C: NC,86,Platinum,2024-07-04
297,1000126762,LEED v4 BD+C: NC,86,Platinum,2024-04-12
298,1000126780,LEED v4 BD+C: NC,82,Platinum,2024-01-16
299,1000126781,LEED v4 BD+C: NC,83,Platinum,2024-12-26
